owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
django/django,1305,15621,15621,Python,6243,73,815,false,36,23,more than 10,has followers,10,2596,0,no experience,0,0,0,0,First_Pull,True,false,Moscow  RU,1253817,20,yumike,closed,Fixed template syntax error  introduced in pull request #17,2012-04-29T07:04:05Z,42012,29/04/2012 07:49,29/04/2012 07:49,45,Very Fast,aaugustin,aaugustin,merged,b1be28554f583189987641c945f70f72d4450aed,d20fbf46ba8dbb3339b0e79ac140e066ba3e8b02,,0,no comments,1,1 commit,4,aviraldg,yumike|aaugustin|aviraldg,1,1,2,some lines,1,1 file,django/contrib/admin/templates/admin,django/contrib/admin/templates/admin/base.html,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,38,33,more than 10,has followers,27,2056,2,little experience,1,1,50,50,26% to 50%,False,false,India,1254053,22,aviraldg,closed,Added regression test for #17967.,2012-04-29T12:00:20Z,42012,29/04/2012 16:08,29/04/2012 16:08,247,Very Fast,alex,alex,merged,0525f6d8bdd8cf1aafaac40c4325aceb49b3c6f8,02a5b41db4ff8544f93a5d9854b346a9aae4f556,,7,has comments,2,some commits,1,,aviraldg|alex,15,0,15,some lines,1,1 file,tests/regressiontests/admin_views,tests/regressiontests/admin_views/tests.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,39,33,more than 10,has followers,6,1905,0,no experience,0,0,0,0,First_Pull,True,false,Somerville  MA,1255360,24,marcneuwirth,closed,Removed ´return false´ in favor of preventDefault.,2012-04-30T01:54:06Z,42012,18/05/2012 20:41,18/05/2012 20:41,27047,Very Slow,adrianholovaty,adrianholovaty,merged,b719cbb901026eb86cbf691f126f8cf92b717ca4,25128856f51cd795d176c3da7808913a45e2b964,,0,no comments,1,1 commit,0,,marcneuwirth|adrianholovaty|eduardocereto|mlavin|alex|jezdez|jphalip,13,13,26,many lines,1,1 file,django/contrib/admin/static/admin/js,django/contrib/admin/static/admin/js/inlines.js,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,44,494,more than 10,has followers,87,2514,0,no experience,0,0,0,0,First_Pull,True,false,London  England,1256940,26,kylef,closed,docs: It´s rsync_project not rysnc_project,2012-04-30T11:53:39Z,42012,30/04/2012 13:30,30/04/2012 13:30,97,Very Fast,alex,alex,merged,96af6918351564fd527b2f7d4ebebb914dd781bc,c09f6ff0a58d016eeb7536f1df1fa956f94f671c,,0,no comments,1,1 commit,1,kylef,kylef|alex,1,1,2,some lines,1,1 file,docs/howto,docs/howto/static-files.txt,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,46,378,more than 10,has followers,24,2276,0,no experience,0,0,0,0,First_Pull,True,false,Currently on paternity leave,1258821,27,leereilly,closed,Add @leereilly to contributor list.,2012-04-30T17:02:37Z,42012,01/05/2012 04:10,01/05/2012 04:10,667,Very Fast,adrianholovaty,adrianholovaty,merged,f5a80f58e1848aefe6688d93b08b33457b370799,fe43ad5707d116bb1729bc17a24ca16c90ae040d,,1,has comments,2,some commits,1,,leereilly|adrianholovaty|alex,1,0,1,1 line,1,1 file,root,AUTHORS,core,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,48,53,more than 10,has followers,0,2266,5,little experience,2,3,60,40,26% to 50%,False,false,Espoo  Finland,1259805,28,akaariai,closed,Ticket 18163 - use faster password hasher in tests.,2012-04-30T19:11:57Z,42012,02/05/2012 23:06,02/05/2012 23:06,3114,Fast,kmtracey,kmtracey,merged,0819957eda318205e17591dccd81482701eab25c,ddfc7c2530197112fb105b6dd237574bc2fd6b49,,0,no comments,3,some commits,23,aviraldg,akaariai|kmtracey,89,11,100,many lines,17,many files,tests|django/contrib/auth/tests|django/contrib/auth/tests|django/contrib/auth/tests|django/contrib/auth/tests|tests/modeltests/test_client|tests/modeltests/timezones|tests/regressiontests/admin_custom_urls|tests/regressiontests/admin_inlines|tests/regressiontests/admin_views|tests/regressiontests/admin_widgets|tests/regressiontests/comment_tests/tests|tests/regressiontests/comment_tests/tests|tests/regressiontests/generic_inline_admin|tests/regressiontests/special_headers|tests/regressiontests/test_client_regress|django/contrib/auth,tests/test_sqlite.py|django/contrib/auth/tests/context_processors.py|django/contrib/auth/tests/forms.py|django/contrib/auth/tests/signals.py|django/contrib/auth/tests/views.py|tests/modeltests/test_client/models.py|tests/modeltests/timezones/tests.py|tests/regressiontests/admin_custom_urls/tests.py|tests/regressiontests/admin_inlines/tests.py|tests/regressiontests/admin_views/tests.py|tests/regressiontests/admin_widgets/tests.py|tests/regressiontests/comment_tests/tests/__init__.py|tests/regressiontests/comment_tests/tests/moderation_view_tests.py|tests/regressiontests/generic_inline_admin/tests.py|tests/regressiontests/special_headers/tests.py|tests/regressiontests/test_client_regress/models.py|django/contrib/auth/hashers.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,48,532,more than 10,has followers,70,2620,0,no experience,0,0,0,0,First_Pull,True,false,Portland  Or,1261312,30,ericholscher,closed,Add a warning to the session doc about size of the table.,2012-04-30T22:23:14Z,42012,01/05/2012 04:05,,342,Very Fast,adrianholovaty,,closed,591422ebca7e9a7105c021745ff610a678897d6c,ddfc7c2530197112fb105b6dd237574bc2fd6b49,,0,no comments,1,1 commit,1,,ericholscher|alex|adrianholovaty,5,0,5,some lines,1,1 file,docs/topics/http,docs/topics/http/sessions.txt,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,46,14,more than 10,has followers,1,1749,0,no experience,0,0,0,0,First_Pull,True,false,SF  CA,1262577,31,gsong,closed,Add @gsong to AUTHORS,2012-05-01T03:11:42Z,52012,01/05/2012 04:03,01/05/2012 04:03,51,Very Fast,adrianholovaty,adrianholovaty,merged,6ac8afc3f927f5e41c84dcc16c56ff6458338d87,ddfc7c2530197112fb105b6dd237574bc2fd6b49,,0,no comments,1,1 commit,3,leereilly,gsong|adrianholovaty,1,0,1,1 line,1,1 file,root,AUTHORS,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,44,3,1 to 3 followers,has followers,2,1304,1,little experience,0,1,100,0,First_Pull,True,false,Munich  Germany,1264513,35,MoritzS,closed,Fixed #18182 -- Raw password echoed on authentication if no hashing used,2012-05-01T14:36:29Z,52012,09/06/2012 09:08,,55832,Very Slow,claudep,,closed,dfed15466377c474fa279c63338798b12d1291a2,435081fd22cec08d98ccbf1efcd223ccaa634ecd,,0,no comments,1,1 commit,1,akaariai,MoritzS|claudep,6,2,8,some lines,2,some files,django/contrib/auth|django/contrib/auth/tests,django/contrib/auth/hashers.py|django/contrib/auth/tests/hashers.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,42,32,more than 10,has followers,9,2078,0,no experience,0,0,0,0,First_Pull,True,false,Nottingham  England,1266865,36,robgolding63,closed,Fixed #17966 -- ´AttributeError: AUTH_PROFILE_MODULE´ when running tests,2012-05-01T19:51:32Z,52012,25/06/2012 18:27,,79115,Very Slow,claudep,,closed,efb724bfa793d4f01e52686607ae344ac3f64c4c,aaa3382fdc35bfa5e26c029225a2eb190da66b79,,0,no comments,1,1 commit,6,adrianholovaty,robgolding63|claudep|vladimiroff|apollo13,2,18,20,some lines,2,some files,root|django/contrib/auth/tests,AUTHORS|django/contrib/auth/tests/models.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,41,3,1 to 3 followers,has followers,2,1304,2,little experience,0,2,100,0,First_Pull,True,false,Munich  Germany,1274609,37,MoritzS,closed,Fixed #18225 -- Staticfiles template tag does not fail silently,2012-05-02T19:24:01Z,52012,10/05/2012 15:56,,11312,Slow,jezdez,,closed,878a601e1c82326853ca9c29cd6cb3bcb88e6670,435081fd22cec08d98ccbf1efcd223ccaa634ecd,,0,no comments,1,1 commit,0,,MoritzS|jezdez,12,1,13,some lines,4,some files,django/contrib/staticfiles/templatetags|tests/regressiontests/static_templatetag|tests/regressiontests/static_templatetag|tests/regressiontests/static_templatetag,django/contrib/staticfiles/templatetags/staticfiles.py|tests/regressiontests/static_templatetag/__init__.py|tests/regressiontests/static_templatetag/models.py|tests/regressiontests/static_templatetag/tests.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,40,66,more than 10,has followers,16,2759,0,no experience,0,0,0,0,First_Pull,True,false,Montréal  Québec,1275458,38,charettes,closed,Make sure model fields can be compared to other objects,2012-05-02T20:54:08Z,52012,07/05/2012 17:12,,6978,Medium,akaariai,,closed,640bdeb5675db72aaaa96a082e7fc71e756622ce,435081fd22cec08d98ccbf1efcd223ccaa634ecd,,0,no comments,3,some commits,6,aaugustin,charettes|alex|akaariai,61,4,65,many lines,3,some files,django/utils|django/db/models/fields|tests/modeltests/basic,django/utils/functional.py|django/db/models/fields/__init__.py|tests/modeltests/basic/tests.py,core,true,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,37,280,more than 10,has followers,207,1627,2,little experience,0,2,100,0,First_Pull,True,false,Madrid  Spain  Sofia  Bulgaria,1281148,41,niwinz,closed,Ticket #4102 - Allow UPDATE of only specific fields in model.save(),2012-05-03T15:31:54Z,52012,12/05/2012 07:39,,12487,Slow,akaariai,,closed,b671e27ea73d2ae2c4ff913ec72e8646df631cae,25128856f51cd795d176c3da7808913a45e2b964,,4,has comments,1,1 commit,39,aaugustin,niwinz|alex|akaariai|freakboy3742,266,17,283,many lines,8,many files,django/db/models|django/db/models|docs/ref/models|docs/ref|docs/releases|tests/modeltests/update_only_fields|tests/modeltests/update_only_fields|tests/modeltests/update_only_fields,django/db/models/base.py|django/db/models/signals.py|docs/ref/models/instances.txt|docs/ref/signals.txt|docs/releases/1.5.txt|tests/modeltests/update_only_fields/__init__.py|tests/modeltests/update_only_fields/models.py|tests/modeltests/update_only_fields/tests.py,core,true,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,36,12,more than 10,has followers,19,1621,0,no experience,0,0,0,0,First_Pull,True,false,New York  NY,1282479,42,gerardo-orozco,closed,Adding MXSocialSecurityNumberField to local flavor,2012-05-03T18:04:46Z,52012,15/10/2012 14:51,,237406,Very Slow,adrianholovaty,,closed,b5614fcba22ff7e93334b0035713cd389deb5999,fb8ec2855bac1fd335a00ac5b550ae54aea3100f,,2,has comments,8,many commits,17,crodjer,gerardo-orozco|pahko|adrianholovaty|ramiro,135,8,143,many lines,6,many files,django/contrib/localflavor/mx|root|django/contrib/localflavor/mx|docs/ref/contrib|tests/regressiontests/localflavor/mx|tests/regressiontests/localflavor/mx,django/contrib/localflavor/mx/forms.py|AUTHORS|django/contrib/localflavor/mx/models.py|docs/ref/contrib/localflavor.txt|tests/regressiontests/localflavor/mx/tests.py|tests/regressiontests/localflavor/mx/models.py,core,true,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,35,15,more than 10,has followers,15,1811,0,no experience,0,0,0,0,First_Pull,True,false,Minsk  Belarus,1282915,43,techtonik,closed,Fix issue #18267 - document `settings.configured` property.,2012-05-03T18:53:50Z,52012,16/05/2012 15:12,16/05/2012 15:12,18498,Very Slow,adrianholovaty,adrianholovaty,merged,59d2b8aa16126d8d0a453f07d5c3497048bcd6b0,5f75ac91df2ef1c19946f65e08aa50165f061cd4,,0,no comments,1,1 commit,0,,techtonik|ramiro|adrianholovaty|akaariai,11,2,13,some lines,1,1 file,docs/topics,docs/topics/settings.txt,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,37,76,more than 10,has followers,18,2393,0,no experience,0,0,0,0,First_Pull,True,false,,1283240,44,apollo13,closed,add more warnings.simplefilter calls.,2012-05-03T19:28:00Z,52012,03/05/2012 19:33,,5,Very Fast,claudep,,closed,90b70099c8aa32f69a0632bca8edadfbca307b60,00c0d3c44ebc4e3461653ec96cd47023cc0a6e5b,,0,no comments,1,1 commit,11,aaugustin,apollo13|claudep,4,0,4,some lines,3,some files,tests/regressiontests/logging_tests|tests/regressiontests/requests|tests/regressiontests/utils,tests/regressiontests/logging_tests/tests.py|tests/regressiontests/requests/tests.py|tests/regressiontests/utils/text.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,36,38,more than 10,has followers,4,2658,0,no experience,0,0,0,0,First_Pull,True,false,Linköping  Sweden,1286607,45,pelme,closed,Truncate tables at the end of a TransactionTestCase run  rather then before.,2012-05-04T07:05:38Z,52012,24/07/2012 20:59,,117473,Very Slow,ramiro,,closed,b4a39849de81743b4a292f4b54984531c5329c9b,fb8ec2855bac1fd335a00ac5b550ae54aea3100f,,0,no comments,7,many commits,4,,pelme|ramiro,103,18,121,many lines,4,some files,django/bin|django/contrib/gis/db/backends/spatialite|django/contrib/gis/geos|django/contrib/sessions/backends,django/bin/unique-messages.py|django/contrib/gis/db/backends/spatialite/creation.py|django/contrib/gis/geos/factory.py|django/contrib/sessions/backends/file.py,core,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,35,0,no followers,no followers,0,1657,0,no experience,0,0,0,0,First_Pull,True,false,,1293888,46,natebragg,closed,Ticket #14030 - Refactor Aggregate to use ExpressionNodes,2012-05-05T12:12:58Z,52012,01/02/2013 21:19,,392166,Very Slow,aaugustin,,closed,52fc6ab40cff71df44e6a3e2fa37b955401545a9,bbb12581dbd91945857cb4731368671776d4d388,,0,no comments,1,1 commit,21,claudep,natebragg|akaariai|airstrike|orokusaki|aaugustin|jarshwah,428,310,738,many lines,22,many files,django/contrib/gis/db/backends/oracle|django/contrib/gis/db/backends/postgis|django/contrib/gis/db/backends/spatialite|django/contrib/gis/db/models|django/contrib/gis/db/models/sql|django/contrib/gis/db/models/sql|django/contrib/gis/db/models/sql|django/contrib/gis/db/models/sql|django/db/backends|django/db/backends/oracle|django/db/backends/postgresql_psycopg2|django/db/models|django/db/models|django/db/models/sql|django/db/models/sql|django/db/models/sql|django/db/models/sql|django/db/models/sql|django/test|django/utils|docs/ref/models|tests/modeltests/aggregation,django/contrib/gis/db/backends/oracle/operations.py|django/contrib/gis/db/backends/postgis/operations.py|django/contrib/gis/db/backends/spatialite/operations.py|django/contrib/gis/db/models/aggregates.py|django/contrib/gis/db/models/sql/aggregates.py|django/contrib/gis/db/models/sql/compiler.py|django/contrib/gis/db/models/sql/query.py|django/contrib/gis/db/models/sql/where.py|django/db/backends/__init__.py|django/db/backends/oracle/base.py|django/db/backends/postgresql_psycopg2/operations.py|django/db/models/aggregates.py|django/db/models/expressions.py|django/db/models/sql/aggregates.py|django/db/models/sql/compiler.py|django/db/models/sql/expressions.py|django/db/models/sql/query.py|django/db/models/sql/where.py|django/test/testcases.py|django/utils/tree.py|docs/ref/models/querysets.txt|tests/modeltests/aggregation/tests.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,34,8,7 to 10 followers,has followers,1,1635,0,no experience,0,0,0,0,First_Pull,True,false,Italy,1308384,50,duilio,closed,Comment._get_userinfo thread safe,2012-05-08T15:28:58Z,52012,08/05/2012 15:37,08/05/2012 15:37,8,Very Fast,alex,alex,merged,6524ef501d99e959dc8d1f1c5b852f8f2849ddc7,2e729c6c331982e1e0d439c6e5ba04c99c670029,,0,no comments,1,1 commit,1,,duilio|alex,5,4,9,some lines,1,1 file,django/contrib/comments,django/contrib/comments/models.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,36,145,more than 10,has followers,0,2308,0,no experience,0,0,0,0,First_Pull,True,false,New Zealand,1312936,51,SmileyChris,closed,Add a {  verbatim  } template tag.,2012-05-09T00:34:06Z,52012,09/06/2012 10:03,,45209,Very Slow,claudep,,closed,bc01a91a3838c18efc5f0133c58a96244e801491,bbb12581dbd91945857cb4731368671776d4d388,,2,has comments,1,1 commit,1,aaugustin,SmileyChris|alex|ogier|apollo13|claudep|ramiro,86,3,89,many lines,5,many files,django/template|django/template|docs/ref/templates|docs/releases|tests/regressiontests/templates,django/template/base.py|django/template/defaulttags.py|docs/ref/templates/builtins.txt|docs/releases/1.5.txt|tests/regressiontests/templates/tests.py,core,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,35,256,more than 10,has followers,1,2217,0,no experience,0,0,0,0,First_Pull,True,false,Philadelphia  PA,1320816,52,dstufft,closed,Ticket/16418,2012-05-09T22:03:03Z,52012,08/06/2012 22:24,,43221,Very Slow,akaariai,,closed,ed8c23be344c704838aa4a5b31b52876cb9a9dd0,c2e1ecb4b136016ab2996712aa0583fd91657bc9,,2,has comments,3,some commits,4,,dstufft|akaariai,50,5,55,many lines,6,many files,django/views/generic|tests/regressiontests/generic_views|tests/regressiontests/generic_views|tests/regressiontests/generic_views|django/views/generic|tests/regressiontests/generic_views,django/views/generic/list.py|tests/regressiontests/generic_views/list.py|tests/regressiontests/generic_views/urls.py|tests/regressiontests/generic_views/views.py|django/views/generic/detail.py|tests/regressiontests/generic_views/detail.py,core,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,35,30,more than 10,has followers,57,2414,0,no experience,0,0,0,0,First_Pull,True,false,Canada,1326075,55,tylerball,closed,All Canadian localflavour form errors should be translatable strings.,2012-05-10T15:09:47Z,52012,11/05/2012 07:00,,950,Very Fast,claudep,,closed,5418b4f3f1b39ce5654c6994f86e17d313c3d369,c2e1ecb4b136016ab2996712aa0583fd91657bc9,,0,no comments,1,1 commit,1,,tylerball|claudep,2,2,4,some lines,1,1 file,django/contrib/localflavor/ca,django/contrib/localflavor/ca/forms.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,34,6,4 to 6 followers,has followers,3,1903,0,no experience,0,0,0,0,First_Pull,True,false,UK,1326080,56,pvanderlinden,closed,scriptname feature,2012-05-10T15:09:53Z,52012,11/05/2012 15:48,,1478,Fast,adrianholovaty,,closed,578d6550fdb507b2428bae63082038a561e9d92b,c2e1ecb4b136016ab2996712aa0583fd91657bc9,,0,no comments,2,some commits,4,ramiro,pvanderlinden|adrianholovaty,70,2,72,many lines,4,some files,django/core/handlers|django/core/management/commands|docs/ref|docs/ref,django/core/handlers/scriptname.py|django/core/management/commands/runserver.py|docs/ref/django-admin.txt|docs/ref/settings.txt,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,32,22,more than 10,has followers,5,2474,1,little experience,0,1,100,0,First_Pull,True,false,Vancouver  Canada,1338027,59,bradbeattie,closed,This change matches Django´s slice filter to be consistent with extended slice syntax.,2012-05-11T21:23:09Z,52012,18/09/2012 08:40,,186437,Very Slow,apollo13,,closed,d94bf558ed6fc3cacae79c055cbec98b12a94cfc,fb8ec2855bac1fd335a00ac5b550ae54aea3100f,,0,no comments,2,some commits,0,,bradbeattie|ubernostrum|apollo13,13,8,21,many lines,1,1 file,django/template,django/template/defaultfilters.py,external,false,false,some contributions
